Permit Number,Owner Name,Operating Name,Street,City,State,Zip,Zip4,County,Latitude,Longitude
CA-W-568,J. PEDRONCELLI WINERY,Pedroncelli Winery,1220 CANYON RD,GEYSERVILLE,CA,95441,9638,SONOMA,38.708743,-122.935669
CA-W-579,BRONCO WINE COMPANY,,6342 BYSTRUM RD,CERES,CA,95307,0000,STANISLAUS,37.5458489,-120.979856
CA-W-587,FRANK P. PASTORI,PASTORI WINERY,23189 GEYSERVILLE AVE,CLOVERDALE,CA,95441,9724,SONOMA,38.7269239,-122.933932
CA-W-601,RICHARD P. MINOR,RITCHIE CREEK VINEYARD,4024 SPRING MOUNTAIN RD,SAINT HELENA,CA,94515,9773,NAPA,38.5245332,-122.5504616
CA-W-615,GOLDEN STATE VINTNERS,,38558 ROAD 128,CUTLER,CA,93615,0000,TULARE,36.488499,-119.284107
CA-W-621,RANCHO SOTOYOME INCORPORATED,JOHNSON'S ALEXANDER VALLEY WINES,8333 STATE HIGHWAY 128,HEALDSBURG,CA,95448,0000,SONOMA,38.6104658,-122.8691609
CA-W-626,WILLIAM C. CADMAN,TULOCAY WINERY,1426 COOMBSVILLE RD,NAPA,CA,94558,3907,NAPA,38.297993,-122.258689
CA-W-633,STEPHEN JUVENAL BORRA,BORRA'S CELLAR,1301 E ARMSTRONG RD,LODI,CA,95242,9423,SAN JOAQUIN,38.090199,-121.300633
CA-W-637,FOSTER'S WINE ESTATES AMERICAS COMPANY,,8555 SONOMA HWY,KENWOOD,CA,95452,9026,SONOMA,38.423975,-122.553247
CA-W-674,"FRANCISCAN VINEYARDS, INC.",MT. VEEDER WINERY,1999 MOUNT VEEDER RD,NAPA,CA,94558,9773,NAPA,38.35967,-122.401837
CA-W-682,"GALLEANO WINERY, INC.",,4231 WINEVILLE AVE,MIRA LOMA,CA,91752,1412,RIVERSIDE,34.011293,-117.54222
CA-W-685,DOMAINE CHANDON INC.,DOMAINE CHANDON,1 CALIFORNIA DR,YOUNTVILLE,CA,94558,1426,NAPA,38.3973751,-122.3599449
CA-W-703,WILLIAM R. FRICK,FRICK WINERY,23072 WALLING RD,GEYSERVILLE,CA,95441,9548,SONOMA,38.7153599,-122.949868
CA-W-712,STONY HILL VINEYARD,,3331 SAINT HELENA HWY N,SAINT HELENA,CA,94574,9660,NAPA,38.5390217,-122.508012
CA-W-716,FOSTER'S WINE ESTATES AMERICAS COMPANY,,2000 MAIN ST,SAINT HELENA,CA,94574,0000,NAPA,38.510892,-122.479813
CA-W-743,RONALD LEIF ERICKSON,YANKEE HILL WINERY,11755 COARSEGOLD LN,COLUMBIA,CA,95310,0000,TUOLUMNE,38.0363119,-120.4013061
CA-W-757,LEON E. & SHIRLEY E. SOBON,SHENANDOAH VINEYARDS,12300 STEINER RD,PLYMOUTH,CA,95669,9503,AMADOR,38.536255,-120.79228
CA-W-761,GRGICH HILLS CELLAR,GRGICH HILLS ESTATE,1829 ST HELENA HWY,RUTHERFORD,CA,94558,0000,NAPA,38.4632051,-122.4263289
CA-W-764,"FIELD STONE WINERY & VINEYARD, INC.",FIELD STONE WINERY,10075 HIGHWAY 128,HEALDSBURG,CA,95448,9025,SONOMA,38.6104658,-122.8691609
CA-W-774,"COOK'S FLAT ASSOCIATES, LP STUART SMITH, GP",SMITH-MADRONE VINEYARDS,4022 SPRING MOUNTAIN RD,SAINT HELENA,CA,94515,9773,NAPA,38.5245319,-122.5502972
CA-W-777,MARKHAM VINEYARDS,,2812 SAINT HELENA HWY N,SAINT HELENA,CA,94574,9655,NAPA,38.520104,-122.487959
CA-W-778,"CLOS DU VAL WINE COMPANY, LTD.",,5330 SILVERADO TRL,NAPA,CA,94558,9410,NAPA,38.3874319,-122.313579
CA-W-782,"R.M.E., INC.",ROBERT MONDAVI WINERY - WOODBRIDGE,5950 E WOODBRIDGE,WOODBRIDGE,CA,95258,0000,SAN JOAQUIN,38.157576,-121.311734
CA-W-790,C. MONDAVI & SONS,CHARLES KRUG WINERY,2800 MAIN  ST,SAINT HELENA,CA,94574,9502,NAPA,38.5161537,-122.485449
CA-W-799,"BUEHLER VINEYARDS, INC.",BUEHLER VINEYARDS,820 GREENFIELD RD,SAINT HELENA,CA,94574,9529,NAPA,38.5133342,-122.3878099
CA-W-800,ROUND HILL CELLARS,RUTHERFORD WINE COMPANY,1680 SILVERADO TRL,SAINT HELENA,CA,94574,9542,NAPA,38.5194394,-122.4682589
CA-W-810,CUSHMAN WINERY CORPORATION,ZACA MESA WINERY,6905 FOXEN CANYON RD,LOS OLIVOS,CA,93463,0000,SANTA BARBARA,34.6674857,-120.122965
CA-W-813,CHRIS LAGISS,LIVERMORE VALLEY CELLARS,1508 WETMORE RD,LIVERMORE,CA,94550,9640,ALAMEDA,37.6452055,-121.7760882
CA-W-822,DAVID WALTER LUCAS,LUCAS WINERY,18196 N DAVIS RD,LODI,CA,95242,9280,SAN JOAQUIN,38.147993,-121.333154
CA-W-832,"RENAISSANCE VINEYARD & WINERY, INCORPORATED",,12585 RICES CROSSING RD,OREGON HOUSE,CA,95962,0000,YUBA,39.3259968,-121.2502341
CA-W-835,"TREFETHEN VINEYARDS WINERY, INC.",TREFETHEN VINEYARDS,1160 OAK KNOLL AVE,NAPA,CA,94558,1303,NAPA,38.3547621,-122.3262009
CA-W-844,FICKLIN VINEYARDS,,30246 AVENUE 7 1/2,MADERA,CA,93637,9198,MADERA,36.8586301,-119.997669
CA-W-847,"F. ROWLAND, HM ROWLAND JR, D. ROWLAND, T. MEVES, ET AL",PACHECO RANCH WINERY,5495 REDWOOD HWY,IGNACIO,CA,94947,0000,MARIN,38.0786733,-122.5449781
CA-W-853,"CUVAISON, INC.",CUVAISON WINERY,4550 SILVERADO TRL,CALISTOGA,CA,94515,9647,NAPA,38.575812,-122.549073
CA-W-859,"QUADY WINERY, INC.",QUADY WINERY,13181 ROAD 24,MADERA,CA,93637,9087,MADERA,36.939812,-120.106949
CA-W-862,FETZER VINEYARDS,,13601 OLD RIVER  RD,HOPLAND,CA,95449,9737,MENDOCINO,38.979021,-123.097531
CA-W-863,SIERRA SUNRISE VINEYARDS,MONTEVINA WINERY,20680 SHENANDOAH SCHOOL RD,PLYMOUTH,CA,95669,9511,AMADOR,38.509512,-120.801689
CA-W-867,FOSTER'S WINE ESTATES AMERICAS COMPANY,,6150 SILVERADO TRL,NAPA,CA,94558,9748,NAPA,38.4162439,-122.3366094
